year_month,country,county,uid,uid_code,uidear,county_code,adolescent_10_24_receiving_fp_new,adolescent_10_24_receiving_fp_revisits,adults_25+_receiving_fp_services_new,adults_25+_receiving_fp_services_revisits,condoms_new,condoms_revisits,pills_new,pills_revisits,injectable_new,injectable_revisits,implants_new,implants_revisits,iucd_new,iucd_revisits,surgical_new,surgical_revisits,condoms,pills,injectables,implants,iucd,surgical,total_fp,total_cyp,periodid,periodname,combined_oral_contraceptive_pills_beginning_balance,combined_oral_contraceptive_pills_ending_balanc,combined_oral_contraceptive_pills_issued/dispensed,combined_oral_contraceptive_pills_losses,combined_oral_contraceptive_pills_negative_adjustment_(issued_to_other_hf),combined_oral_contraceptive_pills_positive_adjustment_(receipt_from_other_hf),combined_oral_contraceptive_pills_quantity_needed/requested,combined_oral_contraceptive_pills_stock_received,emergency_pill_beginning_balance,emergency_pill_ending_balanc,emergency_pill_issued/dispensed,emergency_pill_losses,emergency_pill_negative_adjustment_(issued_to_other_hf),emergency_pill_positive_adjustment_(receipt_from_other_hf),emergency_pill_quantity_needed/requested,emergency_pill_stock_received,female_condom__beginning_balance,female_condom__ending_balanc,female_condom__issued/dispensed,female_condom__losses,female_condom__negative_adjustment_(issued_to_other_hf),female_condom__positive_adjustment_(receipt_from_other_hf),female_condom__quantity_needed/requested,female_condom__stock_received,iucd_copper_t_beginning_balance,iucd_copper_t_ending_balanc,iucd_copper_t_issued/dispensed,iucd_copper_t_losses,iucd_copper_t_negative_adjustment_(issued_to_other_hf),iucd_copper_t_positive_adjustment_(receipt_from_other_hf),iucd_copper_t_quantity_needed/requested,iucd_copper_t_stock_received,implants_(1_rod)_beginning_balance,implants_(1_rod)_ending_balanc,implants_(1_rod)_issued/dispensed,implants_(1_rod)_losses,implants_(1_rod)_negative_adjustment_(issued_to_other_hf),implants_(1_rod)_positive_adjustment_(receipt_from_other_hf),implants_(1_rod)_quantity_needed/requested,implants_(1_rod)_stock_received,injectables_beginning_balance,injectables_ending_balanc,injectables_issued/dispensed,injectables_losses,injectables_negative_adjustment_(issued_to_other_hf),injectables_positive_adjustment_(receipt_from_other_hf),injectables_quantity_needed/requested,injectables_stock_received,male_condom__beginning_balance,male_condom__ending_balanc,male_condom__issued/dispensed,male_condom__losses,male_condom__negative_adjustment_(issued_to_other_hf),male_condom__positive_adjustment_(receipt_from_other_hf),male_condom__quantity_needed/requested,male_condom__stock_received,progestin_only_pills_beginning_balance,progestin_only_pills_ending_balanc,progestin_only_pills_issued/dispensed,progestin_only_pills_losses,progestin_only_pills_negative_adjustment_(issued_to_other_hf),progestin_only_pills_positive_adjustment_(receipt_from_other_hf),progestin_only_pills_quantity_needed/requested,progestin_only_pills_stock_received,eligible_fp,"core_health_workforce_per_10,000population",Demand_Satisfied_by_Modern_Methods (%),"mCPR (Married Women, %)","Teenage Pregnancy Rate (15-19, %)","Total Unmet Need (Married Women, %)"
202412,Kenya,Machakos,yhCUgGcCcOo,202412_yhCUgGcCcOo,2024_yhCUgGcCcOo,KE_County_16,1313,3139,3421,5282,580,1019,1109,1766,1654,9750,883,712,92,30,2,0,1599,2875,11404,1595,122,2,17597,8829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472335.0,,,,,
202412,Kenya,Kisumu,tAbBVBbueqD,202412_tAbBVBbueqD,2024_tAbBVBbueqD,KE_County_42,6613,7460,1920,3786,1927,1184,4799,2859,1753,6121,3947,1064,135,26,17,0,3111,7658,7874,5011,161,17,23832,18432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389055.0,,,,,
202412,Kenya,Laikipia,xuFdFy6t9AH,202412_xuFdFy6t9AH,2024_xuFdFy6t9AH,KE_County_31,536,1028,477,2643,123,425,362,641,364,2233,535,218,51,24,2,0,548,1003,2597,753,75,2,4978,3466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163736.0,,,,,
202412,Kenya,West Pokot,XWALbfAPa6n,202412_XWALbfAPa6n,2024_XWALbfAPa6n,KE_County_24,549,808,335,960,73,11,183,228,591,1107,461,197,13,5,8,0,84,411,1698,658,18,8,2877,2591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188762.0,,,,,
202412,Kenya,Garissa,uyOrcHZBpW0,202412_uyOrcHZBpW0,2024_uyOrcHZBpW0,KE_County_7,300,213,579,478,175,76,292,254,315,731,149,32,6,0,0,0,251,546,1046,181,6,0,2030,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322080.0,,,,,
202412,Kenya,Bomet,HMNARUV2CW4,202412_HMNARUV2CW4,2024_HMNARUV2CW4,KE_County_36,945,2021,1587,10000,601,1182,281,195,1208,5160,603,354,13,5,1,0,1783,476,6368,957,18,1,9603,4995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283009.0,,,,,
202412,Kenya,Samburu,o36zCRjSd4G,202412_o36zCRjSd4G,2024_o36zCRjSd4G,KE_County_25,236,445,197,826,606,830,136,163,319,1146,210,101,13,5,4,0,1436,299,1465,311,18,4,3533,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91143.0,,,,,
202412,Kenya,Isiolo,bzOfj0iwfDH,202412_bzOfj0iwfDH,2024_bzOfj0iwfDH,KE_County_11,139,320,154,704,27,6,78,90,196,642,157,87,4,9,0,0,33,168,838,244,13,0,1296,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80765.0,,,,,
202412,Kenya,Nyandarua,mYZacFNIB3h,202412_mYZacFNIB3h,2024_mYZacFNIB3h,KE_County_18,462,703,657,2307,150,250,545,586,406,2029,452,152,96,29,0,0,400,1131,2435,604,125,0,4695,3281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204949.0,,,,,
202412,Kenya,Nairobi,jkG3zaihdSs,202412_jkG3zaihdSs,2024_jkG3zaihdSs,KE_County_47,7917,7173,4015,11043,2059,1438,4953,4241,3572,9036,4044,1313,1038,380,23,0,3497,9194,12608,5357,1418,23,32097,28092,202412,December 2024,155,125,30,0,0,0,0,0,91,66,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,2,0,0,0,0,50,0,0,0,0,0,0,0,0,170,158,12,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,7,0,0,0,0,0,1716872.0,,,,,
