orgunitlevel1,orgunitlevel2,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Estimated Number of Pregnant Women 2020,Estimated Number of Pregnant Women 2018,Estimated Number of Pregnant Women 2024,Estimated Number of Pregnant Women 2021,Estimated Number of Pregnant Women 2023,Estimated Number of Pregnant Women 2019,Estimated Number of Pregnant Women 2022,Estimated Number of Pregnant Women 2025,Population Growth Rate 2020,Population Growth Rate 2021,Population Growth Rate 2018,Population Growth Rate 2024,Population Growth Rate 2023,Population Growth Rate 2019,Population Growth Rate 2022,Population Growth Rate 2025,Total Population 2021,Total Population 2024,Total Population 2023,Total Population 2019,Total Population 2025,Total Population 2022,Total Population 2020,Total Population 2018,Women of childbearing age (15–49yrs) 2019,Women of childbearing age (15–49yrs) 2022,Women of childbearing age (15–49yrs) 2025,Women of childbearing age (15–49yrs) 2020,Women of childbearing age (15–49yrs) 2018,Women of childbearing age (15–49yrs) 2024,Women of childbearing age (15–49yrs) 2021,Women of childbearing age (15–49yrs) 2023
Kenya,Muranga County,ahwTMNAJvrL,Muranga County,KE_County_21,,26326,41169,25812,26929,26779,23225,26954,27329,,,1.96,,,,,,1105342,1182814,1158275,1156496,1213857,1129488,1080551,1128177,280660,268742,257982,256175,273787,280830,262052,273389
Kenya,Nairobi County,jkG3zaihdSs,Nairobi County,KE_County_47,,152679,157779,175438,159248,169848,165615,164489,153802,4.1,,4.09,,,4.1,,,4696145,5175206,5010344,5138533,5345501,4850756,4541730,4941708,1608363,1559652,1449029,1461590,1551751,1664602,1509941,1611579
Kenya,Nakuru County,ob6SxuRcqU4,Nakuru County,KE_County_32,,68629,80643,78462,72018,76476,78781,76232,80128,2.92,2.56,3.53,2.9,3.05,3.57,2.7,2.77,2270524,2473361,2410628,2301531,2540828,2339956,2206034,2176482,547333,614955,667854,570915,529710,650162,596904,633595
Kenya,Nandi County,t0J75eHKxz5,Nandi County,KE_County_29,,24573,35391,28309,26090,27562,37966,26798,28867,1.8,1.8,3,1.8,,3,,1.8,933052,1011029,984353,1043645,1029227,958382,909112,1021526,252208,239584,254695,229742,245602,252625,233251,245961
Kenya,Narok County,kqJ83J2D72s,Narok County,KE_County_33,,45310,52611,52159,46921,43954,42690,48641,54156,,3.55,4.05,3.65,3.55,3.9,3.65,3.6,1243150,1384789,1165884,1191665,1435446,1293706,1200479,1154966,259965,284507,303699,265030,252635,305667,274450,255001
Kenya,Nyamira County,uepLTG8wGWJ,Nyamira County,KE_County_46,,20752,24683,23961,21312,23226,25247,22511,24721,2.1,2.1,2.07,2.1,2.1,2.08,2.1,2.1,641723,704734,683079,748396,727073,662090,621080,730798,187255,165523,181769,157257,182851,176925,162477,170771
Kenya,Nyandarua County,mYZacFNIB3h,Nyandarua County,KE_County_18,,16585,17356,18246,16981,17856,19275,17327,48236,2,,1.56,,,1.68,1.11,,666860,716514,700228,730558,731474,683075,651241,713768,184218,169453,166084,161516,179797,178030,165389,173725
Kenya,Nyeri County,ptWVfaCIdVx,Nyeri County,KE_County_19,,17220,19111,19310,18046,18894,19434,18431,19738,1.7,1.7,0.28,,1.7,0.48,1.7,,793200,846952,828639,830030,865667,810195,776255,830296,220478,203603,217391,195081,216037,212693,199333,208093
Kenya,Samburu County,o36zCRjSd4G,Samburu County,KE_County_25,,12398,13237,13954,12769,13548,9926,13153,14372,3,3,3,3,3,3,3,3,329226,359754,349276,304087,370546,339103,319637,295472,64311,72624,79358,68455,62611,77046,70508,74802
Kenya,Siaya County,u4t9H8XyU9P,Siaya County,KE_County_41,,31455,38993,35308,32366,34348,31914,33361,36495,1.7,1.7,1.23,2,2.35,1.7,1.7,1.7,1053107,1150131,1116850,1017902,1184405,1084529,1023484,989793,229348,224279,244944,233174,223543,237857,217796,230974
Kenya,Taita Taveta County,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,9474,11055,10504,9716,10234,15103,9970,10780,,,3.2,,2.6,3.2,,3.2,358547,387588,377656,391465,397782,367979,349624,381210,92735,89340,96668,84884,90306,94190,87050,91777
Kenya,Tana River County,JsH2bnvNt2d,Tana River County,KE_County_4,,13328,14258,13436,13066,14003,14735,11813,12799,,,2.9,,,3.15,,,340205,385084,366053,334581,387863,352891,330029,324054,71266,84509,92910,77085,69024,88478,81471,90253
Kenya,Tharaka Nithi County,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,11620,12983,12969,11933,12617,13280,12207,13331,2.03,2.58,2.35,2.67,2.49,2.33,2.7,2.3,414621,450319,438097,449338,462882,425316,403681,440250,113085,107522,112013,100458,110528,113568,104605,110485
Kenya,Trans Nzoia County,mThvosEflAU,Trans Nzoia County,KE_County_26,,31632,44837,35578,32553,34519,45822,33531,36623,2.3,2.73,3.6,2.94,2.97,3.6,2.97,2.9,1053002,1150660,1117148,1145512,1185180,1084606,1021089,1115504,275120,260938,285203,246168,267913,276897,253335,268831
Kenya,Turkana County,kphDeKClFch,Turkana County,KE_County_23,,40465,28028,47418,42055,45536,28978,43837,49283,2.05,1.9,3.5,,,3.5,,2.6,1008339,1135872,1091661,1200572,1181877,1049168,970231,1161197,288258,233864,263790,216269,278804,254154,224764,243652
Kenya,Uasin Gishu County,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,37905,44775,42775,39030,41501,45339,40227,44177,2.28,,3.52,,3.1,3.47,,,1236310,1353641,1313307,1253635,1395197,1274203,1200614,1213700,275994,346824,379675,326796,291287,368366,336512,357395
Kenya,Vihiga County,sANMZ3lpqGs,Vihiga County,KE_County_38,,17814,19388,20187,19468,19591,23851,19810,16942,1.83,2.15,2.52,2.61,2.51,2.52,2.41,2.69,624890,683262,663054,665697,1407790,647591,608249,648259,173344,152137,166288,143492,168803,162188,147701,157394
Kenya,Wajir County,CeLsrJOH0g9,Wajir County,KE_County_8,,25188,28483,28489,25998,25893,26836,26568,29226,3.2,3.21,3.22,2.2,2.46,3.22,2.2,2.5,832065,886747,865644,836357,908873,850370,806262,813832,158906,175606,188624,166525,154627,184023,171563,179508
Kenya,West Pokot County,XWALbfAPa6n,West Pokot County,KE_County_24,,29321,29869,34670,30563,33219,30881,40323,36185,,3.1,4.85,4.07,4.14,3.34,8.03,4.34,678772,770457,738199,715428,804126,707814,651159,695447,172139,191827,172084,139499,167332,164877,145414,162140
